,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
2762,0.444,0.116,4,-23.172,0.041,0.977,0.868,0.0862,0.512,150.319,145613,38737,626,1,16145328
2763,0.422,0.0461,10,-26.781,0.04,0.977,0.839,0.0557,0.337,118.922,189085,137918,615,21,12122349
2764,0.269,0.0224,4,-30.204,0.0318,0.924,0.909,0.065,0.0892,104.721,124120,300430,3721,158,6399904
2765,0.262,0.361,2,-10.187,0.0333,0.508,0.00268,0.108,0.056,126.786,535963,181446849,1470779,58385,368424821
2766,0.431,0.416,9,-10.376,0.0296,0.0462,2.01E-06,0.144,0.177,127.964,411000,118898186,548058,19857,141818975
2767,0.403,0.658,1,-4.713,0.0314,0.0331,0.00137,0.168,0.0897,153.903,330360,55325532,328832,8900,71578871
2768,0.329,0.588,4,-8.621,0.0322,0.0142,0,0.107,0.112,161.961,449253,59634002,290303,8383,77516908
2769,0.502,0.43,9,-9.466,0.0271,0.263,7.48E-06,0.148,0.217,90.5,262120,45438287,224609,5403,105038362
2770,0.451,0.688,0,-7.843,0.0358,0.000614,0,0.141,0.0827,135.066,393360,29692544,206367,6888,65524185
2771,0.315,0.128,0,-16.555,0.0653,0.902,0,0.271,0.223,75.668,148520,2233635,29856,536,22395820
2772,0.411,0.611,2,-4.719,0.0298,0.0751,0.000221,0.0762,0.138,140.002,258627,5645824,36029,1498,79326817
2773,0.425,0.695,9,-7.93,0.0477,0.00438,0,0.691,0.243,142.11,353547,10618243,114180,3429,55638662
2774,0.495,0.608,2,-9.378,0.0305,0.204,0,0.294,0.227,131.962,249640,1958909,16700,446,
2775,0.348,0.536,5,-5.76,0.0313,0.34,0,0.209,0.199,150.586,250000,,,,179230151
2776,0.536,0.378,0,-6.702,0.0266,0.53,0,0.115,0.147,133.858,237440,174834547,837998,22622,109836364
2777,0.578,0.524,7,-4.447,0.0322,0.186,0,0.126,0.196,135.739,236613,131667727,556049,15242,101734132
2778,0.734,0.594,2,-7.006,0.0252,0.622,0,0.094,0.573,104.043,280667,379031,5369,399,77781258
2779,0.606,0.738,1,-4.159,0.0316,0.518,0,0.158,0.258,110.99,228493,98154244,330416,12499,66795707
2780,0.541,0.387,0,-7.334,0.031,0.618,0,0.0716,0.273,78.003,257440,73618776,260689,7404,87612158
2781,0.574,0.467,1,-6.374,0.0381,0.738,0,0.149,0.256,131.89,240560,68677113,389569,14595,41243108
2782,0.328,0.681,4,-6.388,0.0426,0.386,0,0.73,0.269,134.032,350867,8008,153,9,48806476
2783,0.63,0.411,0,-6.887,0.0242,0.658,0,0.0773,0.212,77.959,255267,73618776,260689,7404,24699513
2784,0.585,0.444,1,-6.478,0.0368,0.677,0,0.171,0.26,132.713,239867,796054,5224,362,19312526
2785,0.491,0.593,0,-5.975,0.0255,0.098,0,0.257,0.328,144.142,231760,319681936,1661505,79779,160887874
2786,0.645,0.921,6,-5.256,0.0302,0.00809,1.08E-05,0.407,0.864,129,186440,65995071,434363,16373,157190997
2787,0.581,0.678,0,-4.242,0.0284,0.00669,0,0.0807,0.677,181.991,221267,204420989,617670,26713,126811531
2788,0.626,0.532,9,-7.205,0.0275,0.296,0,0.122,0.33,130.071,248240,74016615,196324,9344,107258666
2789,0.707,0.765,1,-4.636,0.0341,0.0163,0,0.0627,0.923,97.005,211413,26599394,87939,4338,92746589
2790,0.533,0.512,4,-6.851,0.0288,0.0475,0,0.0442,0.553,75.984,234867,135818245,447860,26872,67126104
2791,0.457,0.488,8,-7.964,0.0301,0.326,0,0.154,0.283,72.517,216267,34477522,153618,9150,82059007
2792,0.664,0.787,0,-5.246,0.0239,0.038,0,0.193,0.585,102.952,208600,129239012,487462,21178,61336836
2793,0.23,0.357,10,-6.596,0.0315,0.63,0,0.0886,0.174,114.229,241067,116142956,656663,26290,89339029
2794,0.597,0.945,6,-3.845,0.0497,0.018,0,0.0654,0.939,147.908,232827,45649,275,6,72388600
2795,0.766,0.563,9,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007,230640,323882925,2254181,48539,335199834
2796,0.675,0.384,1,-7.12,0.045,0.752,0,0.167,0.415,86.953,201653,783076,4130,188,200915629
2797,0.687,0.924,9,-7.324,0.0361,0.0707,0.228,0.046,0.931,126.018,271240,1858240,15188,617,11578481
2798,0.689,0.894,6,-6.342,0.0672,0.133,4.72E-05,0.0681,0.709,123.971,197827,44483281,240687,6596,59431371
2799,0.748,0.915,3,-5.23,0.0376,0.385,0.0585,0.0235,0.763,129,193920,23078882,149200,6052,43750750
2800,0.465,0.536,10,-6.719,0.0413,0.555,0,0.232,0.595,142.202,135267,35445,239,7,22203085
2801,0.803,0.764,5,-5.233,0.0387,0.0339,0.000703,0.206,0.614,122.014,207987,10769706,144305,6916,25030661
2802,0.201,0.762,9,-5.802,0.0578,0.548,0,0.0839,0.436,202.936,164867,1659252,8221,287,12689289
2803,0.336,0.47,7,-10.541,0.0319,0.378,0.00332,0.0953,0.163,154.649,237080,30161903,206740,5397,50859782
2804,0.603,0.774,3,-6.066,0.0428,0.0288,0.051,0.0533,0.48,124.994,238267,43013396,201862,11204,48290656
2805,0.884,0.677,1,-5.603,0.283,0.0778,0,0.0732,0.584,101.868,263227,137738050,1047462,25866,235927143
2806,0.797,0.75,0,-9.369,0.247,0.533,0.108,0.095,0.74,177.87,211120,72119567,654802,20462,232992865
2807,0.904,0.813,4,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461,226864,74527587,674014,17904,175477763
2808,0.833,0.722,1,-5.563,0.136,0.0573,1.14E-05,0.358,0.588,107.019,175343,41435374,674630,26517,161041407
2809,0.759,0.711,0,-5.199,0.0384,0.0477,1.19E-06,0.143,0.436,111.902,157837,10443952,274704,29204,18859435
2810,0.57,0.774,1,-3.677,0.25,0.32,0.000332,0.199,0.229,65.964,244293,137738050,1047462,25866,49500145
2811,0.836,0.595,6,-9.338,0.201,0.141,0.00375,0.329,0.762,79.98,251000,28294914,261078,12565,45459713
2812,0.899,0.645,10,-11.621,0.271,0.0435,0.101,0.358,0.348,110.895,217200,5877614,71983,2722,53313334
2813,0.707,0.538,0,-5.264,0.505,0.362,0,0.317,0.439,121.732,234893,39467624,259305,9071,37213095
2814,0.622,0.669,9,-8.419,0.329,0.0266,2.97E-06,0.152,0.57,93.839,252987,33734961,255602,5881,34078715
2815,0.694,0.739,10,-9.042,0.0265,0.0198,0.00238,0.18,0.862,117.705,240480,732784,3413,231,216554625
2816,0.61,0.637,1,-5.881,0.027,0.61,0,0.0952,0.322,128.863,272200,12459516,35452,1378,165334962
2817,0.45,0.878,9,-4.592,0.0827,0.0071,0,0.0908,0.744,199.844,252443,15922754,260404,14941,48533462
2818,0.639,0.814,1,-6.035,0.0302,0.00708,0,0.0915,0.549,127.995,257240,74489525,258455,15308,122950928
2819,0.447,0.662,0,-6.046,0.0368,0.5,0,0.367,0.152,133.979,251320,98448869,452333,16385,62442834
2820,0.59,0.809,4,-4.991,0.0449,0.072,0,0.415,0.586,134.019,255720,38508437,81679,4132,86304668
2821,0.712,0.741,9,-10.245,0.0289,0.0782,2.97E-05,0.141,0.891,127.104,237867,39043619,132539,2913,69736194
2822,0.663,0.839,4,-5.21,0.0519,0.0359,4.61E-06,0.969,0.679,136.995,218080,39043619,132539,2913,65610239
2823,0.483,0.631,4,-5.96,0.0306,0.636,0,0.322,0.202,82.005,281693,86818179,287504,11863,37206483
2824,0.586,0.885,7,-5.241,0.0758,0.173,0,0.082,0.624,95.989,223907,120609,4108,535,9149565
2825,0.335,0.00501,1,-33.366,0.0451,0.993,0.919,0.0618,0.0383,132.085,294960,88157607,886141,68790,63536557
2826,0.335,0.00532,1,-31.646,0.0376,0.994,0.912,0.0621,0.0397,65.832,268000,88157607,886141,68790,93461661
2827,0.296,0.00896,7,-31.948,0.0394,0.994,0.91,0.0825,0.0673,69.432,256000,15974768,107236,3080,51210863
2828,0.25,0.00904,5,-31.617,0.041,0.995,0.922,0.0779,0.083,62.541,233400,15974768,107236,3080,40399275
2829,0.339,0.00597,3,-27.888,0.0509,0.994,0.926,0.0695,0.0353,102.801,346347,88157607,886141,68790,44802930
2830,0.3,0.0405,8,-31.023,0.0449,0.992,0.948,0.138,0.233,63.821,216061,21045,341,6,18088338
2831,0.36,0.0249,1,-27.017,0.0463,0.993,0.932,0.0454,0.0396,133.024,279160,2867746,36354,1692,66137762
2832,0.252,0.00676,4,-31.909,0.0358,0.991,0.955,0.062,0.0897,109.115,273413,282964,3820,167,17989562
2833,0.285,0.00464,3,-38.222,0.0435,0.995,0.844,0.0582,0.216,72.32,150440,40337,448,1,12672498
2834,0.373,0.00783,6,-35.324,0.0369,0.995,0.894,0.0512,0.0815,65.097,252600,153045,1315,15,6385495
2835,0.699,0.354,8,-16.487,0.0362,0.158,0,0.0689,0.751,119.909,199413,3616717,44665,1276,104362525
2836,0.447,0.457,4,-10.969,0.0331,0.675,0,0.339,0.59,112.918,231493,45538981,202758,6344,82066945
2837,0.518,0.25,9,-17.864,0.0269,0.6,0.000601,0.139,0.642,87.689,308133,127216,2535,179,49710152
2838,0.613,0.489,11,-13.509,0.0503,0.259,0,0.0696,0.898,145.278,208867,17886214,79732,2532,63591251
2839,0.5,0.572,3,-9.771,0.0405,0.562,0.000207,0.118,0.513,83.288,417533,82728,459,1,23840329
2840,0.588,0.42,8,-10.503,0.0281,0.215,5.96E-05,0.0938,0.354,139.978,272680,23205732,238890,8548,35880528
2841,0.782,0.818,6,-5.24,0.0515,0.216,0,0.0609,0.926,127.011,295009,9714933,61293,2198,7848794
2842,0.403,0.301,1,-18.421,0.0469,0.775,0.000123,0.115,0.333,147.499,260067,32343015,96041,3537,30319367
2843,0.384,0.616,3,-9.401,0.0381,0.48,1.25E-05,0.0539,0.408,77.835,253360,2852848,,1681,6594454
2844,0.644,0.288,0,-12.486,0.0297,0.794,0.000108,0.108,0.572,93.522,186373,991651,14269,776,11320836
2845,0.438,0.434,7,-8.37,0.0371,0.122,0,0.15,0.195,179.913,257293,80007802,468451,21064,70599197
2846,0.4,0.517,7,-6.447,0.0282,0.17,0,0.138,0.136,179.883,261123,422814,15393,521,5142743
2847,0.597,0.542,8,-10.703,0.0563,0.698,0.00264,0.0986,0.397,111.985,249904,71208454,792376,37610,66502611
2848,0.469,0.323,7,-9.317,0.028,0.789,0,0.122,0.423,92.217,280880,630511,7208,177,6622172
2849,0.722,0.884,4,-3.593,0.0656,0.0378,0,0.219,0.647,103.962,308467,24661103,76561,2846,18003702
2850,0.525,0.666,5,-8.399,0.0551,0.524,0.000137,0.0948,0.466,117.282,303219,7020119,68464,2207,11220841
2851,0.504,0.553,1,-9.163,0.0943,0.599,4.56E-06,0.106,0.435,171.914,257953,28434237,188255,4431,28235526
